Instance,Database,Schema,Table,Column,TableRowCount,Classification Scope,EAP#23-Masking,HIPAA Status,Information Type,Masking Data Set,Owner,Primary Jurisdiction,Retention Policy,Sensitivity,Treatment Intent,Applicable Regulation: CaCPA,Applicable Regulation: DPA,Applicable Regulation: GDPR,Applicable Regulation: HIPAA,Applicable Regulation: PCI,Applicable Regulation: SOX,Where Used: Pricing,Where Used: Promotions,Where Used: System-DBA,Where Used: WebOrders,Regulatory Notes,Reason for de-scoping,MS_Description
rm-iclone3.testnet.red-gate.com,AW Clone 2,HumanResources,Employee,JobTitle,1740,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Work title such as Buyer or Sales Representative.
rm-iclone3.testnet.red-gate.com,AW Clone 2,HumanResources,Employee,LoginID,1740,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Network login.
rm-iclone3.testnet.red-gate.com,AW Clone 2,HumanResources,Employee,MaritalStatus,1740,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,"M = Married, S = Single"
rm-iclone3.testnet.red-gate.com,AW Clone 2,HumanResources,Employee,ModifiedDate,1740,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Date and time the record was last updated.
rm-iclone3.testnet.red-gate.com,AW Clone 2,HumanResources,Employee,NationalIDNumber,1740,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Unique national identification number such as a social security number.
rm-iclone3.testnet.red-gate.com,AW Clone 2,HumanResources,Employee,OrganizationLevel,1740,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,The depth of the employee in the corporate hierarchy.
rm-iclone3.testnet.red-gate.com,AW Clone 2,HumanResources,Employee,OrganizationNode,1740,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Where the employee is located in corporate hierarchy.
rm-iclone3.testnet.red-gate.com,AW Clone 2,HumanResources,Employee,rowguid,1740,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,ROWGUIDCOL number uniquely identifying the record. Used to support a merge replication sample.
rm-iclone3.testnet.red-gate.com,AW Clone 2,HumanResources,Employee,SalariedFlag,1740,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,"Job classification. 0 = Hourly, not exempt from collective bargaining. 1 = Salaried, exempt from collective bargaining."
rm-iclone3.testnet.red-gate.com,AW Clone 2,HumanResources,Employee,SickLeaveHours,1740,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Number of available sick leave hours.
rm-iclone3.testnet.red-gate.com,AW Clone 2,HumanResources,Employee,VacationHours,1740,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Number of available vacation hours.
rm-iclone3.testnet.red-gate.com,AW Clone 2,HumanResources,EmployeeDepartmentHistory,BusinessEntityID,888,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Employee identification number. Foreign key to Employee.BusinessEntityID.
rm-iclone3.testnet.red-gate.com,AW Clone 2,HumanResources,EmployeeDepartmentHistory,DepartmentID,888,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Department in which the employee worked including currently. Foreign key to Department.DepartmentID.
rm-iclone3.testnet.red-gate.com,AW Clone 2,HumanResources,EmployeeDepartmentHistory,EndDate,888,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Date the employee left the department. NULL = Current department.
rm-iclone3.testnet.red-gate.com,AW Clone 2,HumanResources,EmployeeDepartmentHistory,ModifiedDate,888,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Date and time the record was last updated.
rm-iclone3.testnet.red-gate.com,AW Clone 2,HumanResources,EmployeeDepartmentHistory,ShiftID,888,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Identifies which 8-hour shift the employee works. Foreign key to Shift.Shift.ID.
rm-iclone3.testnet.red-gate.com,AW Clone 2,HumanResources,EmployeeDepartmentHistory,StartDate,888,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Date the employee started work in the department.
rm-iclone3.testnet.red-gate.com,AW Clone 2,HumanResources,EmployeePayHistory,BusinessEntityID,316,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Employee identification number. Foreign key to Employee.BusinessEntityID.
rm-iclone3.testnet.red-gate.com,AW Clone 2,HumanResources,EmployeePayHistory,ModifiedDate,316,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Date and time the record was last updated.
rm-iclone3.testnet.red-gate.com,AW Clone 2,HumanResources,EmployeePayHistory,PayFrequency,316,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,"1 = Salary received monthly, 2 = Salary received biweekly"
rm-iclone3.testnet.red-gate.com,AW Clone 2,HumanResources,EmployeePayHistory,Rate,316,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Salary hourly rate.
rm-iclone3.testnet.red-gate.com,AW Clone 2,HumanResources,EmployeePayHistory,RateChangeDate,316,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Date the change in pay is effective
rm-iclone3.testnet.red-gate.com,AW Clone 2,HumanResources,JobCandidate,BusinessEntityID,26,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Employee identification number if applicant was hired. Foreign key to Employee.BusinessEntityID.
rm-iclone3.testnet.red-gate.com,AW Clone 2,HumanResources,JobCandidate,JobCandidateID,26,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Primary key for JobCandidate records.
rm-iclone3.testnet.red-gate.com,AW Clone 2,HumanResources,JobCandidate,ModifiedDate,26,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Date and time the record was last updated.
rm-iclone3.testnet.red-gate.com,AW Clone 2,HumanResources,JobCandidate,Resume,26,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Résumé in XML format.
rm-iclone3.testnet.red-gate.com,AW Clone 2,HumanResources,Shift,EndTime,9,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Shift end time.
rm-iclone3.testnet.red-gate.com,AW Clone 2,HumanResources,Shift,ModifiedDate,9,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Date and time the record was last updated.
rm-iclone3.testnet.red-gate.com,AW Clone 2,HumanResources,Shift,Name,9,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Shift description.
rm-iclone3.testnet.red-gate.com,AW Clone 2,HumanResources,Shift,ShiftID,9,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Primary key for Shift records.
rm-iclone3.testnet.red-gate.com,AW Clone 2,HumanResources,Shift,StartTime,9,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Shift start time.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,Address,AddressID,78456,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Primary key for Address records.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,Address,AddressLine1,78456,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,First street address line.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,Address,AddressLine2,78456,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Second street address line.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,Address,City,78456,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Name of the city.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,Address,ModifiedDate,78456,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Date and time the record was last updated.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,Address,PostalCode,78456,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Postal code for the street address.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,Address,rowguid,78456,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,ROWGUIDCOL number uniquely identifying the record. Used to support a merge replication sample.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,Address,SpatialLocation,78456,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Latitude and longitude of this address.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,Address,StateProvinceID,78456,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Unique identification number for the state or province. Foreign key to StateProvince table.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,AddressType,AddressTypeID,18,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Primary key for AddressType records.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,AddressType,ModifiedDate,18,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Date and time the record was last updated.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,AddressType,Name,18,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,"Address type description. For example, Billing, Home, or Shipping."
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,AddressType,rowguid,18,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,ROWGUIDCOL number uniquely identifying the record. Used to support a merge replication sample.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,BusinessEntity,BusinessEntityID,41554,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,"Primary key for all customers, vendors, and employees."
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,BusinessEntity,ModifiedDate,41554,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Date and time the record was last updated.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,BusinessEntity,rowguid,41554,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,ROWGUIDCOL number uniquely identifying the record. Used to support a merge replication sample.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,BusinessEntityAddress,AddressID,78456,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Primary key. Foreign key to Address.AddressID.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,BusinessEntityAddress,AddressTypeID,78456,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Primary key. Foreign key to AddressType.AddressTypeID.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,BusinessEntityAddress,BusinessEntityID,78456,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Primary key. Foreign key to BusinessEntity.BusinessEntityID.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,BusinessEntityAddress,ModifiedDate,78456,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Date and time the record was last updated.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,BusinessEntityAddress,rowguid,78456,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,ROWGUIDCOL number uniquely identifying the record. Used to support a merge replication sample.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,BusinessEntityContact,BusinessEntityID,3636,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Primary key. Foreign key to BusinessEntity.BusinessEntityID.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,BusinessEntityContact,ContactTypeID,3636,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Primary key.  Foreign key to ContactType.ContactTypeID.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,BusinessEntityContact,ModifiedDate,3636,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Date and time the record was last updated.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,BusinessEntityContact,PersonID,3636,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Primary key. Foreign key to Person.BusinessEntityID.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,BusinessEntityContact,rowguid,3636,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,ROWGUIDCOL number uniquely identifying the record. Used to support a merge replication sample.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,ContactType,ContactTypeID,40,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Primary key for ContactType records.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,ContactType,ModifiedDate,40,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Date and time the record was last updated.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,ContactType,Name,40,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Contact type description.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,CountryRegion,CountryRegionCode,476,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,ISO standard code for countries and regions.
rm-iclone3.testnet.red-gate.com,AW Clone 2,Person,CountryRegion,ModifiedDate,476,,,,,,CTO,,,,,0,0,0,0,0,0,0,0,0,0,,,Date and time the record was last updated.
